Rank,Given_name,number
1,淑芬,31923
2,淑惠,29947
3,美玲,27355
4,雅婷,24186
5,美惠,23515
6,麗華,23336
7,淑娟,22943
8,淑貞,22754
9,怡君,20919
10,淑華,19793
11,美華,19625
12,雅惠,19405
13,秀美,18923
14,秀英,18300
15,秀琴,17712
16,淑美,17153
17,美玉,16791
18,雅雯,16728
19,麗娟,16661
20,淑玲,16622
21,雅玲,15537
22,美珠,15133
23,秀蘭,15021
24,麗珠,14873
25,秀鳳,14403
26,美雲,14324
27,家豪,14208
28,志明,13375
29,欣怡,13110
30,美麗,12886
31,麗卿,12869
32,惠美,12731
33,麗美,12588
34,俊傑,12587
35,建宏,12470
36,淑珍,12449
37,惠玲,12423
38,淑慧,12043
39,秀玲,11856
40,秀珍,11698
41,俊宏,11514
42,秀珠,11490
43,玉蘭,11413
44,素珍,11199
45,素貞,11194
46,志豪,10949
47,怡婷,10908
48,月娥,10668
49,明珠,10624
50,麗玲,10558
51,麗雲,10258
52,宜蓁,10153
53,麗玉,10096
54,志偉,10095
55,淑芳,10071
56,玉梅,10066
57,玉玲,10046
58,慧玲,9929
59,秀玉,9873
60,秋香,9867
61,文雄,9826
62,秀梅,9763
63,佳蓉,9666
64,承翰,9589
65,冠宇,9580
66,志強,9474
67,玉英,9465
68,金龍,9377
69,志成,9324
70,志宏,9281
71,美珍,9217
72,秀娟,9198
73,正雄,9194
74,宗翰,9189
75,美娟,9181
76,靜宜,9001
77,淑敏,8983
78,靜怡,8897
79,雅慧,8894
80,冠廷,8888
81,美鳳,8846
82,美慧,8817
83,雅萍,8800
84,寶珠,8709
85,美蘭,8708
86,麗香,8576
87,淑卿,8568
88,玉珍,8560
89,心怡,8502
90,文彬,8497
91,明輝,8461
92,佳玲,8436
93,鈺婷,8364
94,美英,8351
95,詩涵,8320
96,惠珍,8224
97,春美,8217
98,秀雲,8093
99,明德,8002
100,承恩,7970
101,碧珠,7933
102,佩珊,7914
103,麗雪,7865
104,文龍,7828
105,碧霞,7769
106,月英,7754
107,麗珍,7750
108,雅芳,7711
109,郁婷,7694
110,碧雲,7642
111,柏翰,7613
112,麗琴,7580
113,佳慧,7561
114,淑媛,7521
115,素卿,7507
116,秀華,7501
117,俊賢,7495
118,麗芬,7484
119,彥廷,7460
120,佩君,7430
121,玉美,7425
122,雅琪,7374
123,玉華,7311
124,佳穎,7298
125,玉婷,7293
126,志忠,7275
127,俊雄,7143
128,國華,7055
129,信宏,6741
130,家銘,6721
131,建成,6380
132,進財,6236
133,志銘,6056
134,榮華,6046
135,志雄,5935
136,冠霖,5915
137,武雄,5838
138,明哲,5712
139,宇翔,5709
140,國雄,5691
141,文祥,5539
142,志鴻,5503
143,文忠,5486
144,志賢,5472
145,正義,5463
146,建華,5459
147,文正,5440
148,俊良,5429
149,家榮,5390
150,文賢,5349
151,世昌,5303
152,家瑋,5300
153,建志,5300
154,文章,5284
155,進興,5281
156,明宏,5255
157,家宏,5090
158,義雄,5086
159,凱翔,5072
160,文傑,5065
161,哲瑋,5057
162,建興,5056
163,柏宇,5039
164,明宗,5009
165,志文,4986
166,勝雄,4973
167,嘉宏,4881
168,文欽,4817
169,俊豪,4773
170,仁傑,4769
171,俊廷,4702
172,俊男,4688
173,博文,4685
174,進發,4679
175,宗霖,4673
176,文華,4650
177,冠宏,4626
178,聰明,4613
179,哲維,4606
180,俊明,4603
181,宗憲,4600
182,永昌,4598
183,威廷,4586
184,世明,4569
185,建良,4547
186,金城,4506
187,俊銘,4492
188,國榮,4469
189,建銘,4449
190,俊宇,4426
191,文德,4393
192,建中,4378
193,子豪,4349
194,宇軒,4349
195,政宏,4343
196,忠義,4338
197,志誠,4289
198,榮輝,4285
199,志遠,4271
200,明賢,4246